name,lat,lon
IOCL - Andhra Engg. Co Survey No: 96,16.52545,80.594917
Garapati Auto R.S. No.117/2,16.5091847,80.7172737
Croma - Dvr Complex,16.48017102,80.61809115
Vivanta Vijayawada Mg Road,16.4984,80.6520
